Provinsi;Tahun;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11
SUMATERA SELATAN;2018;4,27;91;68,45;61,22;46,53;7,79;12,82;69,39;50105;2595995;8,48;26,23
BENGKULU;2018;3,35;99;70,27;68,84;49,27;5,46;15,41;70,64;33822;1888741;8,94;38,31
LAMPUNG;2018;4,04;242;69,62;70,79;42,65;9,01;13,01;69,02;39716;2074673;8,29;21,32
KEP. BANGKA BELITUNG;2018;3,61;89;67,26;50,43;30,99;7,05;4,77;70,67;50082;2755444;8,24;13,2
KEP. RIAU;2018;8,04;260;64,33;31,78;8,06;23,37;5,83;74,84;116461;2563875;10,01;27,64
DKI JAKARTA;2018;6,65;15764;62,92;30,15;0,33;13,04;3,55;80,47;247678;3648036;11,06;36,71
JAWA BARAT;2018;8,23;1376;62,84;48,21;13,81;20,93;7,25;71,3;40273;1544361;8,61;25,14
JAWA TENGAH;2018;4,47;1052;68,81;60,67;24,38;21,78;11,19;71,12;36771;1486065;7,84;21,96
DI YOGYAKARTA;2018;3,37;1214;73,12;54,45;20,4;16,38;11,81;79,53;34137;1454154;9,73;70,6
JAWA TIMUR;2018;3,91;826;69,56;61,88;32,49;15,88;10,85;70,77;55411;1508895;7,93;29,99
BANTEN;2018;8,47;1313;62,95;43,99;13,2;23,77;5,25;71,95;48370;2099385;8,93;33,4
BALI;2018;1,4;743;76,56;49,38;20,12;14,64;3,91;74,77;54433;2127157;9;36,4
NUSA TENGGARA BARAT;2018;3,58;270;66,68;71,81;33,48;12,38;14,63;67,3;24706;1825000;7,69;29,75
NUSA TENGGARA TIMUR;2018;2,85;110;71,75;75,65;54,73;8,96;21,03;64,39;18418;1660000;7,7;30,14
KALIMANTAN BARAT;2018;4,18;34;68,86;59,55;50,94;6,42;7,37;66,98;38815;2046900;7,65;22,68
KALIMANTAN TENGAH;2018;3,91;17;69,69;52,37;38,37;5,53;5,1;70,42;52107;2421305;8,66;25,24
KALIMANTAN SELATAN;2018;4,35;108;69,74;60,08;33,79;8,81;4,65;70,17;41046;2454671;8,45;26,41
KALIMANTAN TIMUR;2018;6,41;28;64,55;41,16;21,5;7,16;6,06;75,83;174165;2543332;9,63;35,64
KALIMANTAN UTARA;2018;5,11;9;66,87;42,95;26,34;8,51;6,86;70,56;119414;2559903;9,18;21,58
SULAWESI UTARA;2018;6,61;179;63,09;55,61;24,64;9,06;7,59;72,2;48105;2824286;9,51;35
SULAWESI TENGAH;2018;3,37;49;69,76;66,66;44,03;7,57;13,69;68,88;55519;1965232;8,74;40,61
SULAWESI SELATAN;2018;4,94;188;63,93;63,32;37,79;9,05;8,87;70,9;52642;2647767;8,45;41,23
SULAWESI TENGGARA;2018;3,19;70;69,75;63,09;35,42;8,97;11,32;70,61;44492;2177052;9,03;46,42
GORONTALO;2018;3,7;105;67,94;61,78;30,09;11,22;15,83;67,71;31828;2206813;7,83;35,23
SULAWESI BARAT;2018;3,01;81;69,27;74,69;52,19;7,49;11,22;65,1;32059;2193530;7,94;28,9
MALUKU;2018;6,95;38;63,87;64,37;36,8;8,46;17,85;68,87;24269;2222220;9,78;48,42
MALUKU UTARA;2018;4,63;39;65,73;66,92;45,73;5,5;6,62;67,76;29586;2320803;9,07;42,68
PAPUA BARAT;2018;6,45;9;67,30;54,3;33,64;6,66;22,66;63,74;84958;2667000;9,73;35,97
PAPUA;2018;3;10;79,02;78,11;67,75;1,84;27,43;60,06;63386;3000000;6,66;19,03
ACEH;2019;6,17;93;63,13;57,12;36,49;8,2;15,01;71,9;30879;2916810;9,59;44,51
SUMATERA UTARA;2019;5,39;200;70,37;55;35,54;9,91;8,63;71,74;54620;2303403;9,71;30,82
SUMATERA BARAT;2019;5,38;130;67,88;62,13;34,3;9,45;6,29;72,39;44886;2289220;9,22;42,18
RIAU;2019;5,76;80;64,94;52,22;37,88;7,73;6,9;73;111227;2662026;9,35;33,93
JAMBI;2019;4,06;72;65,79;57,06;45,44;5,59;7,51;71,26;60829;2423889;8,86;30,71
SUMATERA SELATAN;2019;4,53;92;67,67;60,52;45,91;6,23;12,56;70,02;53359;2804453;8,6;25,59
BENGKULU;2019;3,26;100;70,09;65,12;43,78;5,84;14,91;71,21;36565;2040407;9,08;37,63
LAMPUNG;2019;4,03;244;69,06;68,49;40,5;11,25;12,3;69,57;42172;2241270;8,36;21,98
KEP. BANGKA BELITUNG;2019;3,58;91;67,1;46,82;29,09;7,6;4,5;71,3;52233;2976706;8,35;14,27
KEP. RIAU;2019;7,5;267;64,69;29,57;7,71;23,8;5,8;75,48;119395;2769754;10,13;25,11
DKI JAKARTA;2019;6,54;15900;63,9;31,35;0,47;12,3;3,42;80,76;268052;3940973;11,11;39,43
JAWA BARAT;2019;8,04;1394;64,99;50,2;13,25;21,06;6,82;72,03;43309;1668373;8,79;25,15
JAWA TENGAH;2019;4,44;1058;68,85;57,99;23,48;22,32;10,58;71,73;39388;1605396;8,03;21,8
DI YOGYAKARTA;2019;3,18;1227;72,72;51,64;19,01;17,05;11,44;79,99;36460;1570923;9,83;73,14
JAWA TIMUR;2019;3,82;831;69,61;60,64;31,2;15,87;10,2;71,5;59015;1630059;8,11;29,2
BANTEN;2019;8,11;1338;63,83;42,14;9,94;24,09;4,94;72,44;52014;2267990;9,07;33,22
BALI;2019;1,57;750;73,77;49,46;18,88;15;3,61;75,38;57756;2297969;9,19;35,96
NUSA TENGGARA BARAT;2019;3,28;273;69,47;71,02;30,47;13,27;13,88;68,14;25716;2012610;7,98;30,7
NUSA TENGGARA TIMUR;2019;3,14;112;70,34;72,26;48,7;10,2;20,62;65,23;19630;1795000;7,98;30,22
KALIMANTAN BARAT;2019;4,35;34;68,51;60,11;48,79;6,02;7,28;67,65;42045;2211500;7,8;24,87
KALIMANTAN TENGAH;2019;4,04;18;69,29;51,02;38,01;6;4,81;70,91;56625;2663435;8,83;25,45
KALIMANTAN SELATAN;2019;4,18;110;68,77;56,82;30,03;9,13;4,47;70,72;42824;2651782;8,59;27,04
KALIMANTAN TIMUR;2019;5,94;29;65,96;41,76;18,76;7,66;5,91;76,61;180259;2747561;9,88;37,78
KALIMANTAN UTARA;2019;4,49;10;65,59;46,69;30,54;7,98;6,49;71,15;138751;2765463;9,24;23,43
SULAWESI UTARA;2019;6,01;181;63,94;54,81;28,52;8,96;7,51;72,99;52173;3051076;9,63;33,86
SULAWESI TENGAH;2019;3,11;49;67,8;62,97;41,36;7,36;13,18;69,5;61056;2123040;8,98;38,64
SULAWESI SELATAN;2019;4,62;189;63,8;60,55;35,96;8,93;8,56;71,66;57182;2860382;8,73;42,72
SULAWESI TENGGARA;2019;3,52;71;69,11;62,55;34,88;9,4;11,04;71,2;48514;2351870;9,25;47,56
GORONTALO;2019;3,76;107;67,38;58,66;30,69;7,82;15,31;68,49;34977;2384020;8,11;36,71
SULAWESI BARAT;2019;2,98;82;69,89;71,91;46,35;8,54;10,95;65,73;34112;2381000;8,22;30,85
MALUKU;2019;6,69;38;63,97;61,98;34,48;9,08;17,65;69,45;26097;2400664;10,03;47,65
MALUKU UTARA;2019;4,81;39;65,05;61,69;42,17;5,84;6,91;68,7;32125;2508091;9,32;44,02
PAPUA BARAT;2019;6,43;9;67,71;52,25;30,75;3,92;21,51;64,7;87542;2934500;9,92;34,83
PAPUA;2019;3,51;11;76,93;79,29;67,73;2,02;26,55;60,84;56619;3240900;6,85;21,08
ACEH;2020;6,59;91;65,1;61,88;37,22;8,26;15,43;71,99;31633;3165031;9,71;44,58
SUMATERA UTARA;2020;6,91;203;68,67;59,62;35,43;9,58;9,14;71,77;54979;2499423;9,83;31,14
SUMATERA BARAT;2020;6,88;132;69,01;66,28;36,22;9,46;6,56;72,38;43826;2484041;9,34;43,09
RIAU;2020;6,32;73;65,24;55,97;39,17;7,62;7,04;72,71;114167;2888564;9,47;35,07
JAMBI;2020;5,13;71;67,79;62,74;46,44;5,03;7,97;71,29;57958;2630162;8,97;31,42
SUMATERA SELATAN;2020;5,51;92;68,65;65,26;45,99;5,91;12,98;70,01;53843;3043111;8,68;26,41
BENGKULU;2020;4,07;101;71,73;69,23;46,88;5,42;15,3;71,4;36552;2213604;9,2;38,39
LAMPUNG;2020;4,67;260;70,16;72,26;44,76;9,17;12,76;69,69;39290;2432002;8,51;23,08
KEP. BANGKA BELITUNG;2020;5,25;89;66,89;52,93;32,5;8,19;4,89;71,47;52023;3230024;8,49;14,73
KEP. RIAU;2020;10,34;252;66,28;35,41;8,95;22,76;6,13;75,59;123465;3005460;10,22;26,68
DKI JAKARTA;2020;10,95;15907;63,81;38,22;0,58;11,01;4,69;80,77;262615;4276350;11,17;40,34
JAWA BARAT;2020;10,46;1365;64,53;55,59;16,91;18,56;8,43;72,09;43237;1810351;8,96;25,75
JAWA TENGAH;2020;6,48;1113;69,43;62,75;26,28;20,64;11,84;71,87;36965;1742015;8,19;22,62
DI YOGYAKARTA;2020;4,57;1171;71,12;57,41;20,17;17,03;12,8;79,97;37694;1704608;9,95;74,69
JAWA TIMUR;2020;5,84;851;70,33;63,64;33,01;14,62;11,46;71,71;56641;1768777;8,31;29,52
BANTEN;2020;10,64;1232;64,48;49,17;12,4;20,32;6,63;72,45;52729;2460997;9,22;33,07
BALI;2020;5,63;747;74,32;56,69;22,51;15,75;4,45;75,5;52015;2494000;9,31;36,46
NUSA TENGGARA BARAT;2020;4,22;286;70,45;73,47;34,68;11,14;14,23;68,25;25184;2183883;8,08;31,28
NUSA TENGGARA TIMUR;2020;4,28;109;73,11;76,1;51,43;9,5;21,21;65,19;20057;1950000;8,09;31,28
KALIMANTAN BARAT;2020;5,81;37;68,83;63,01;49,27;5,82;7,24;67,66;39622;2399699;7,9;25,36
KALIMANTAN TENGAH;2020;4,58;17;68,40;55,8;38,15;5,77;5,26;71,05;57145;2903145;8,95;25,7
KALIMANTAN SELATAN;2020;4,74;105;69,33;60,82;33,33;8,79;4,83;70,91;44101;2877449;8,69;27,35
KALIMANTAN TIMUR;2020;6,87;29;65,50;47,14;20,48;6,23;6,64;76,24;161799;2981379;9,99;39,16
KALIMANTAN UTARA;2020;4,97;9;66,51;50,93;31,28;7,83;7,41;70,63;143533;3000804;9,3;22,71
